Curt_Pub,Com_Pub,Sal_Pub,Comp_Pub,Curt_Reels,Com_Reels,Sal_Reels,Comp_Reels,Resp_Sto,Comp_Sto,entrada_seguidores
284,23,27,16,224,23,9,9,170,17,263
50,2,20,6,630,57,54,64,152,2,807
108,12,22,3,890,235,72,117,87,4,787
298,37,31,4,801,71,78,139,188,34,596
407,54,30,1,1010,78,120,141,117,24,732
527,194,30,16,858,50,109,275,134,26,672
120,4,18,2,579,73,44,73,74,12,575
46,6,30,1,619,70,77,204,116,23,1217
23,0,13,10,527,15,92,290,66,12,1877
257,33,10,3,619,29,45,217,193,34,1269
151,6,16,8,465,12,69,66,66,7,1133
14,1,20,1,799,28,109,105,157,28,755
71,10,9,5,738,29,107,120,77,0,1047
63,12,10,3,608,34,51,75,41,0,791
19,0,10,1,631,41,92,84,19,0,1278
14,0,11,0,511,31,61,69,124,0,1441